Date ,Price 
Feb 05 2017,9305
Feb 07 2017,9305
Feb 15 2017,9291
Feb 18 2017,9271
Feb 25 2017,9289
Mar 01 2017,9284
Mar 05 2017,9283
Mar 12 2017,9287
Mar 16 2017,9302
Mar 19 2017,9277
Mar 27 2017,9278
Mar 29 2017,9291
Apr 04 2017,9292
Apr 10 2017,9297
Apr 12 2017,9308
Apr 21 2017,9323
Apr 23 2017,9311
Apr 28 2017,9315
May 05 2017,9308
May 11 2017,9331
May 12 2017,9323
May 18 2017,9335
May 22 2017,9313
May 31 2017,9316
Jun 03 2017,9318
Jun 07 2017,9237
Jun 13 2017,9246
Jun 18 2017,9243
Jun 23 2017,9208
Jun 26 2017,9234
Jul 01 2017,9214
Jul 07 2017,9216
Jul 12 2017,9224
Jul 18 2017,9226
Jul 24 2017,9206
Jul 30 2017,9222
Aug 01 2017,9233
Aug 09 2017,9207
Aug 10 2017,9187
Aug 17 2017,9181
Aug 20 2017,9229
Aug 25 2017,9233
Sep 02 2017,9230
Sep 05 2017,9229
Sep 09 2017,9244
Sep 17 2017,9243
Sep 19 2017,9251
Sep 25 2017,9263
Oct 03 2017,9269
Oct 06 2017,9282
Oct 14 2017,9279
Oct 15 2017,9262
Oct 24 2017,9264
Oct 28 2017,9285
Nov 03 2017,9294
Nov 05 2017,9288
Nov 10 2017,9303
Nov 17 2017,9306
Nov 23 2017,9298
Nov 24 2017,9317
Dec 03 2017,9330
Dec 08 2017,9361
Dec 11 2017,9377
Dec 17 2017,9391
Dec 23 2017,9389
Dec 26 2017,9391
Dec 30 2017,9413
Jan 07 2018,9422
Jan 11 2018,9451
Jan 17 2018,9460
Jan 21 2018,9485
Jan 23 2018,9471
Feb 01 2018,9480
Feb 03 2018,9497
Feb 10 2018,9504
Feb 14 2018,9520
Feb 21 2018,9529
Feb 25 2018,9562
Mar 02 2018,9573
Mar 06 2018,9588
Mar 13 2018,9603
Mar 15 2018,9653
Mar 21 2018,9656
Mar 28 2018,9669
Mar 31 2018,9666
Apr 05 2018,9679
Apr 11 2018,9737
Apr 15 2018,9746
Apr 18 2018,9762
Apr 23 2018,9767
Apr 28 2018,9788
May 08 2018,9804
May 11 2018,9816
May 16 2018,9829
May 19 2018,9818
May 24 2018,9811
May 30 2018,9811
Jun 05 2018,9829
Jun 12 2018,9831
Jun 17 2018,9820
Jun 19 2018,9864
Jun 26 2018,9876
Jul 01 2018,9865
Jul 05 2018,9882
Jul 12 2018,9880
Jul 15 2018,9912
Jul 19 2018,9899
Jul 23 2018,9926
Jul 30 2018,9932
Aug 06 2018,9926
Aug 09 2018,9868
Aug 12 2018,9868
Aug 17 2018,9890
Aug 24 2018,9939
Aug 28 2018,9954
Sep 04 2018,9940
Sep 08 2018,9957
Sep 11 2018,9940
Sep 20 2018,9948
Sep 25 2018,9977
Sep 29 2018,9956
Oct 04 2018,9973
Oct 07 2018,9971
Oct 12 2018,9989
Oct 20 2018,9986
Oct 22 2018,9970
Oct 27 2018,9956
Nov 03 2018,9962
Nov 08 2018,9956
Nov 14 2018,9999
Nov 18 2018,9987
Nov 21 2018,10036
Nov 26 2018,10035
Nov 30 2018,10060
Dec 07 2018,10073
Dec 13 2018,10066
Dec 19 2018,10078
Dec 23 2018,10080
Dec 28 2018,10073
Jan 03 2019,10072
Jan 08 2019,10079
Jan 10 2019,10141
Jan 17 2019,10125
Jan 22 2019,10070
Jan 28 2019,10143
Jan 31 2019,10109
Feb 06 2019,10096
Feb 11 2019,10137
Feb 17 2019,10145
Feb 20 2019,10096
Feb 25 2019,10072
Mar 04 2019,10110
Mar 07 2019,10145
Mar 15 2019,10168
Mar 18 2019,10094
Mar 23 2019,10074
Mar 27 2019,10105
Apr 02 2019,10074
Apr 05 2019,10116
Apr 12 2019,10164
Apr 19 2019,10164
Apr 21 2019,10149
Apr 27 2019,10160
May 03 2019,10218
May 08 2019,10233
May 11 2019,10293
May 19 2019,10328
May 20 2019,10356
May 29 2019,10424
Jun 01 2019,10380
Jun 07 2019,10448
Jun 12 2019,10490
Jun 17 2019,10470
Jun 21 2019,10472
Jun 26 2019,10507
Jun 29 2019,10502
Jul 05 2019,10519
Jul 09 2019,10565
Jul 16 2019,10542
Jul 21 2019,10558
Jul 24 2019,10554
Jul 29 2019,10558
Aug 06 2019,10634
Aug 12 2019,10643
Aug 17 2019,10615
Aug 20 2019,10624
Aug 25 2019,10589
Aug 30 2019,10617
Sep 04 2019,10582
Sep 12 2019,10552
Sep 14 2019,10614
Sep 18 2019,10649
Sep 25 2019,10606
Sep 29 2019,10654
Oct 06 2019,10616
Oct 08 2019,10643
Oct 13 2019,10640
Oct 20 2019,10606
Oct 23 2019,10541
Nov 01 2019,10513
Nov 03 2019,10468
