Date,CHINA
"Feb 28, 2017",64.746
"Mar 31, 2017",66.124
"Apr 28, 2017",67.882
"May 31, 2017",71.331
"Jun 30, 2017",72.420
"Jul 31, 2017",78.450
"Aug 31, 2017",81.560
"Sep 29, 2017",82.247
"Oct 31, 2017",85.508
"Nov 30, 2017",86.832
"Dec 29, 2017",88.484
"Jan 31, 2018",99.531
"Feb 28, 2018",93.153
"Mar 30, 2018",90.087
"Apr 30, 2018",90.043
"May 31, 2018",91.353
"Jun 29, 2018",86.197
"Jul 31, 2018",83.503
"Aug 31, 2018",80.246
"Sep 28, 2018",78.911
"Oct 31, 2018",69.838
"Nov 30, 2018",74.948
"Dec 31, 2018",70.403
"Jan 31, 2019",78.185
"Feb 28, 2019",80.881
"Mar 29, 2019",82.847
"Apr 30, 2019",84.673
"May 31, 2019",73.215
"Jun 28, 2019",78.526
"Jul 31, 2019",77.795
"Aug 30, 2019",74.460
"Sep 30, 2019",74.274
"Oct 31, 2019",77.259
"Nov 29, 2019",78.627
"Dec 31, 2019",85.146
"Jan 31, 2020",81.040
"Feb 28, 2020",81.828
"Mar 31, 2020",76.428
"Apr 30, 2020",81.242
"May 29, 2020",80.580
"Jun 30, 2020",87.314
"Jul 31, 2020",95.085
"Aug 31, 2020",100.403
"Sep 30, 2020",97.533
"Oct 30, 2020",102.674
"Nov 30, 2020",105.505
"Dec 31, 2020",108.406
"Jan 29, 2021",116.387
"Feb 26, 2021",115.175
"Mar 31, 2021",107.932
"Apr 30, 2021",109.365
"May 31, 2021",109.966
"Jun 30, 2021",109.576
"Jul 30, 2021",94.073
"Aug 31, 2021",94.013
"Sep 30, 2021",89.160
"Oct 29, 2021",91.953
"Nov 30, 2021",86.437
"Dec 31, 2021",83.699
"Jan 31, 2022",81.227
"Feb 28, 2022",78.059
,
,
